Covidence #,Study ID,Title,Reviewer Name,Does the study include a socio-environmental model?,Country / region in which the study is focused ,State?,Regional_Global,Miscellaneous Notes,Type of Model,Does the study quantify model uncertainty? ,How does this model quantify uncertainty?,Does the model uncertainty approach fall into any of the following categories? 
4,Martínez-Fernández 2013,Sustainability of Mediterranean irrigated agro-landscapes,Consensus,Yes,Spain,NA,,,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification
5,Le 2010,Land Use Dynamic Simulator (LUDAS): A multi-agent system model for simulating spatio-temporal dynamics of coupled human-landscape system. 2. Scenario-based application for impact assessment of land-use policies,Consensus,Yes,Vietnam,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis; Other,Knowledge of the system
7,Convertino 2016,From city- to health-scapes: Multiscale design for population health,Consensus,Yes,USA,,,,System dynamics model,No,,
9,Roman 2018,The Dynamics of Human–Environment Interactions in the Collapse of the Classic Maya,Consensus,Yes,Other,NA,South America,,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
10,Schimel 2015,"Analysis, Integration and Modeling of the Earth System (AIMES): Advancing the post-disciplinary understanding of coupled human-environment dynamics in the Anthropocene",Consensus,No,NA,NA,,This is a more general overview paper,,Other: ,,
11,Pearsall 2009,Linking the stressors and stressing the linkages: Human-environment vulnerability and brownfield redevelopment in New York City,Consensus,Yes,USA,STATE,,,Other: Vulnerability Scoping Diagram,No,,
12,An 2005,Exploring complexity in a human-environment system: An agent-based spatial model for multidisciplinary and multiscale integration,Consensus,Yes,China,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
13,Pal 2023,Dynamics of a coupled socio-environmental model: An application to global CO<sub>2</sub> emissions,Consensus,Yes,Global,NA,Global,,System dynamics model; Other: Coupled socio-environmental model ,Yes, Sensitivity analysis,Model specification
14,Wang 2019,Identification and evaluation of land use vulnerability in a coal mining area under the coupled human-environment,Consensus,Yes,China,NA,,,"Conceptual model (non-quantitative); Other: The study utilized a combination of models: SVM, Vulnerability Assessment Framework and Analytic Hierarchy Process (AHP)",No,,
16,Fang 2018,"Data Descriptor: High-resolution reconstruction of the United States human population distribution, 1790 to 2010",Consensus,Yes,USA,,,,Other: parsimonious population models,Yes,Validation / cross-validation (using empirical data),Model specification; Empirical data limitations
18,Goldspiel 2023,Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States,Consensus,Yes,USA,STATE,,,Other: Clarifai's General model (neural network) ,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Spatial and temporal scale issues
19,Student 2020,Simulating emerging coastal tourism vulnerabilities: an agent-based modelling approach,Consensus,Yes,Curacao,NA,,,Agent-based model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
20,Iwanaga 2021,Socio-technical scales in socio-environmental modeling: Managing a system-of-systems modeling approach,Consensus,No,NA,,,,,No,,
24,Song 2024,Mapping the Unheard: Analyzing Tradeoffs Between Fisheries and Offshore Wind Farms Using Multicriteria Decision Analysis,Consensus,Yes,USA,STATE,,,"Other: Three multicriteria decision models: weighted aggregated sum product assessment, technique for order of preference by similarity to ideal solution, analytical hierarchy process",Yes, Sensitivity analysis,Model specification
27,Hoberg 2017,Irreversibility and uncertainty cause an intergenerational equity-efficiency trade-off,Consensus,Yes,None_Unspecified,,,,System dynamics model,No,,
28,Saqalli 2014,"Revisiting and modelling the woodland farming system of the early Neolithic Linear Pottery Culture (LBK), 5600-4900 BC",Consensus,Yes,Other,,Europe,,System dynamics model,No,,
30,Plag 2020,A goal-based approach to the identification of essential transformation variables in support of the implementation of the 2030 agenda for sustainable development,Consensus,No,NA,NA,,Describes models that can be used to advance SDG's but does not use any in particular,Other: Does not include a model,No,Other: Does not include a model,Other: Does not include a model
31,Zhang 2016,A Stochastic ANP-GCE Approach for Vulnerability Assessment in the Water Supply System With Uncertainties,Consensus,Yes,China,,,Focus on Shanghai as case study,Other: A multi-criteria decision-making approach for vulnerability assessment using network modeling (ANP-GCE),Yes, Sensitivity analysis; Sensitivity analysis using factorial design,Model specification; Empirical data limitations
32,Zhijun 2022,Sustainable Tourism Supply Chain Assessment Using Hybrid Decision-Making Methods under Fuzzy Uncertainty,Consensus,Yes,Taiwan,NA,,,Conceptual model (non-quantitative),No,,
35,Villamor 2013,Validating human decision making in an agent-based land-use model,Consensus,Yes,Indonesia,NA,,,Agent-based model,No,"Validation / cross-validation (using empirical data); Other: surveys, RPGs",Model specification; Knowledge of the system; Empirical data limitations
36,Liu 2013,Simulating the Conversion of Rural Settlements to Town Land Based on Multi-Agent Systems and Cellular Automata,Consensus,Yes,China,NA,,"""We
simulated the town expansion from 2005 to 2010 in the three
towns and compared the actual 2010 results with the simulated
2010 results to validate the accuracy of the simulation.""",Agent-based model,Yes,Validation / cross-validation (using empirical data); Other: Compared to pre-existing model,Model specification; Empirical data limitations
37,Lee 2019,Dimension reduction of multivariate outputs of socio-environmental agent-based models,Consensus,Yes,USA,STATE,,,Agent-based model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
39,Wang 2020,Emergence of urban clustering among US cities under environmental stressors,Consensus,No,USA,STATE,,,,Other: ,,
40,Elsawah 2020,Scenario processes for socio-environmental systems analysis of futures: A review of recent efforts and a salient research agenda for supporting decision making,Consensus,No,NA,,,,,No,,
42,Cabello 2015,River basins as social-ecological systems: linking levels of societal and ecosystem water metabolism in a semiarid watershed,Consensus,Yes,Spain,NA,,,System dynamics model; Biophysical model,,Validation / cross-validation (using empirical data),Empirical data limitations
